name,description
Hannah Abbot,  A Hufflepuff girl in Harry’s year and a prefect in books 5 and 6. She was in the D.A. and her mother was killed in Book 6 by a death eater. Marrys Neville Longbottom and becomes the barwoman of the Three Broomsticks
Euan Abercrombie, A Gryffindor student who first came to Hogwarts in Harry’s 4th year.
Steward Ackerley, A Ravenclaw student who was first introduced in Goblet of Fire.
Falcon Aesalon," From ancient Greece, he was the first ever recorded animagus and could transform into a falcon."
Agnes, A patient in St. Mungo’s who’s head is covered in fur and barks instead of speaks.
Cornelius Agrippa," Living from 1486 – 1535 and was on a wizard card saying celebrated wizard imprisoned by Muggles for his writing, because they thought his books were evil”. She is also the only card that Ron does not have in his collection (along with Ptolemy)."
Archibald Alderton," On a wizard card and is famous for blowing up a small town in Hampshire while trying to mix a birthday cake.
 "
Alguf the Awful," A goblin who is known for trying to sell dungbombs.
 "
Alphard,"  Sirius Black’s uncle who left Sirius gold to buy his own place. He, like Sirius, has been removed from the Black family tree (probably for leaving Sirius the gold).
 "
Archie," An old wizard Harry saw while at the world cup, who said he would rather wear a muggle women’s dress than men’s clothing because he “likes a nice healthy breeze around his privates.”
 "
Aragog,"  The creature that was believed to be the monster inside the Chamber of Secrets. Was raised by Hagrid inside the castle and is an acromantula. Lives in the forest with it’s family, and ordered Harry and Ron to be killed in Book 2. He also died in Book 6.
 "
Arnold,"  Ginny’s pet Pygmy Puff.
 "
Bertram Aubrey,  A boy that Sirius and James Potter used an illegal hex on that made his head swell to twice it’s normal size.
Avery,"  A death eater who stayed out of Azkaban by saying he was acting under the imperius curse. He was apologizing to Voldemort in Book 4, but Voldemort then said “crucio” and he fell in pain."
Babayaga, A Russian hag that ate children for lunch and breakfast.
Malcolm Baddock, A boy sorted into Slytherin in Book 4.
Ludo Bagman," Full name, Ludovic Bagman. Head of the department of magical games and sports in the ministry of magic before fleeing at the end of the 4th book. He was an international quidditch player (beater) for the Wimbourne Wasps. While on the team, they won 3 strait league championships. He was the commenter at the Quidditch World Cup and the Triwizard Tournament. He kept trying to give Harry tips on the Triwizard tournament because he bet that Harry would win. He was also charged as a death eater while still in his quidditch days, but got out of it by saying that the death eater was an old family friend, and he had no idea he was a death eater.
 "
Otto Bagman," Ludo’s brother who had a problem with an unnatural lawnmower and needed attention from Mr. Weasley.
 "
(Ludo and Otto’s father) Bagman,"  Father of Ludo and Otto Bagman, and friend of death eater Augustus Rookwood."
Millicent Bagnold," Minister of Magic before Cornelius Fudge.
 "
Bathilda Bagshot," Author of A History of Magic. Was killed by Voldemort and then possessed by Nagini
 "
Bandon Banshee,"  A creature that Gilderoy Lockhart banished, but was really banished by a witch with a hair lip.
 "
Bane, A centaur that gets mad at Firenze (another centaur) for helping Harry Potter. He also tells Hagrid to get out of the forest and take Grawp (his giant 1/2 brother) with him.
Heathcote Barbary, Plays guitar for the wizading band The Weird Sisters.
Barker, Created the Twigger 90 with Flyte.
Musidora Barkwith,  A famous wizarding composer of her work which featured an exploding Tuba. Her work is now banned after blowing the roof off a building.
Barnabas the Barmy, A portrait on the 7th floor of Hogwarts across from the room of requirement.
Barny," The famous mascot of the Ballycastle bats who was featured in a butterbeer add saying I’m just batty about butterbear.
 "
Barrufio, A wizard mentioned in Book 1 who mis
Ali Bashir," A wizard who tried to smuggle in flying carpets in Britain (which is not allowed due to the Registry of Proscribed Charmable Objects), and who Mr. Weasley had to deal with his job at the Ministry of Magic, Misuse of Muggle Artifacts."
Basil,"  The keeper of the portkeys at the Quidditch World Cup. He disguises as a muggle by wearing a kilt and a poncho and greets the Weasleys, Harry, and Hermione when they arrive (although the comment was directed to Mr. Weasley).
 "
Hetty Bayliss, A muggle women who save Ron Weasley flying the Ford Angelina before going invisible.
Oswald Beamish, Leader in Goblin rights.
Beedle the Bard," Author of wizarding childrenís fairy tales; “The Fountain of Fair Fortune,” “The Wizard and the Hopping Pot” “Babbitty Rabbitty and her Cackling Stump” and “The Tale of the Three Brothers.”"
Flavius Belby, Survived an attack by a lethifold by using the partonus charm. He was also voted the president of the Goblestones club.
Marcus Belby," A boy in the Slug Club first introduced in Book 6. His uncle Damocles invented the Wolfsbane Potion.
 "
Humphrey Belcher, A man who believed the time was right to invent the Cheese Cauldron.
Katie Bell," A Gryffindor girl 1 year above Harry who plays chaser on the Gryffindor quidditch team. She also had a very bad encounter in her 7th year, when somebody put a curse on a necklace she was to deliver and she touched it, making most of her 7th year spent in St. Mungo’s hospital.
 "
Amy Benson," A girl in Tom Riddle’s orphanage who went into a cave with Riddle and was never the same again.
 "
